Anys_Periode;Codi_Districte;Nom_Districte;Codi_Barri;Nom_Barri;Esp vida Homes;Esp vida Dones
2006-2010;1;Ciutat Vella;1;el Raval;779;875
2006-2010;1;Ciutat Vella;2;el Barri Gòtic;813;88
2006-2010;1;Ciutat Vella;3;la Barceloneta;783;882
2006-2010;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;809;889
2006-2010;2;Eixample;5;el Fort Pienc;83;897
2006-2010;2;Eixample;6;la Sagrada Família;832;889
2006-2010;2;Eixample;7;la Dreta de l'Eixample;812;87
2006-2010;2;Eixample;8;l'Antiga Esquerra de l'Eixample;823;889
2006-2010;2;Eixample;9;la Nova Esquerra de l'Eixample;821;90
2006-2010;2;Eixample;10;Sant Antoni;817;89
2006-2010;3;Sants-Montjuïc;11;el Poble Sec;806;885
2006-2010;3;Sants-Montjuïc;13;la Marina de Port;831;885
2006-2010;3;Sants-Montjuïc;14;la Font de la Guatlla;815;887
2006-2010;3;Sants-Montjuïc;15;Hostafrancs;812;875
2006-2010;3;Sants-Montjuïc;16;la Bordeta;839;887
2006-2010;3;Sants-Montjuïc;17;Sants - Badal;835;884
2006-2010;3;Sants-Montjuïc;18;Sants;817;894
2006-2010;4;Les Corts;19;les Corts;83;894
2006-2010;4;Les Corts;20;la Maternitat i Sant Ramon;839;90
2006-2010;4;Les Corts;21;Pedralbes;847;89
2006-2010;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;789;834
2006-2010;5;Sarrià-Sant Gervasi;23;Sarrià;837;909
2006-2010;5;Sarrià-Sant Gervasi;24;les Tres Torres;847;897
2006-2010;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;835;892
2006-2010;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;836;888
2006-2010;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;837;899
2006-2010;6;Gràcia;28;Vallcarca i els Penitents;826;882
2006-2010;6;Gràcia;29;el Coll;814;899
2006-2010;6;Gràcia;30;la Salut;796;857
2006-2010;6;Gràcia;31;la Vila de Gràcia;818;875
2006-2010;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;827;901
2006-2010;7;Horta-Guinardó;33;el Baix Guinardó;839;901
2006-2010;7;Horta-Guinardó;34;Can Baró;815;882
2006-2010;7;Horta-Guinardó;35;el Guinardó;817;893
2006-2010;7;Horta-Guinardó;36;la Font d'en Fargues;816;873
2006-2010;7;Horta-Guinardó;37;el Carmel;807;888
2006-2010;7;Horta-Guinardó;38;la Teixonera;823;867
2006-2010;7;Horta-Guinardó;39;Sant Genís dels Agudells;818;873
2006-2010;7;Horta-Guinardó;40;Montbau;771;835
2006-2010;7;Horta-Guinardó;41;la Vall d'Hebron;836;866
2006-2010;7;Horta-Guinardó;43;Horta;814;871
2006-2010;8;Nou Barris;44;Vilapicina i la Torre Llobeta;818;896
2006-2010;8;Nou Barris;45;Porta;817;883
2006-2010;8;Nou Barris;46;el Turó de la Peira;809;904
2006-2010;8;Nou Barris;47;Can Peguera;747;822
2006-2010;8;Nou Barris;48;la Guineueta;809;883
2006-2010;8;Nou Barris;49;Canyelles;82;896
2006-2010;8;Nou Barris;50;les Roquetes;792;885
2006-2010;8;Nou Barris;51;Verdun;802;884
2006-2010;8;Nou Barris;52;la Prosperitat;817;896
2006-2010;8;Nou Barris;53;la Trinitat Nova;78;874
2006-2010;8;Nou Barris;55;Ciutat Meridiana;804;879
2006-2010;9;Sant Andreu;57;la Trinitat Vella;804;87
2006-2010;9;Sant Andreu;58;Baró de Viver;742;824
2006-2010;9;Sant Andreu;59;el Bon Pastor;804;863
2006-2010;9;Sant Andreu;60;Sant Andreu;817;888
2006-2010;9;Sant Andreu;61;la Sagrera;837;899
2006-2010;9;Sant Andreu;62;el Congrés i els Indians;817;899
2006-2010;9;Sant Andreu;63;Navas;825;898
2006-2010;10;Sant Martí;64;el Camp de l'Arpa del Clot;829;891
2006-2010;10;Sant Martí;65;el Clot;819;887
2006-2010;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;824;881
2006-2010;10;Sant Martí;67;la Vila Olímpica del Poblenou;872;904
