,Unnamed: 0,Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Taxa_mil_hab,Nombre,Renda mitja barri,Emmigració 1000/hab,Esp vida Homes,Esp vida Dones,Latitude,Longitude,Argentina,Bolívia,Colòmbia,Espanya,Filipines,França,Hondures,Itàlia,"Marroc, el",Others,Pakistan,Perú,Regne Unit,Rússia,Veneçuela,Xina,Índia
0,0,2021,1,Ciutat Vella,1,el Raval,Taxa per mil habitants,67,25529.24,503,76.77000000000001,85.59,41.3795176,2.1683678,436,219,479,22640,3925,854,153,1877,1505,8242,4007,252,639,215,358,312,1115
1,1,2021,1,Ciutat Vella,2,el Barri Gòtic,Taxa per mil habitants,61,29373.22,616,78.88,86.08,41.3833947,2.1769119,263,64,334,8245,326,574,218,1211,836,4905,2879,165,502,189,225,128,763
2,2,2021,1,Ciutat Vella,3,la Barceloneta,Taxa per mil habitants,116,26512.45,497,76.6,85.15,41.3806533,2.1899274,205,38,176,8777,31,283,41,1162,352,2331,432,84,245,126,179,74,107
3,3,2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Taxa per mil habitants,66,29937.77,490,79.09,86.15,41.3883219,2.1774107,335,85,267,12203,275,774,75,1681,677,3808,359,140,634,204,216,278,120
4,4,2021,2,Eixample,5,el Fort Pienc,Taxa per mil habitants,103,41524.9,481,81.69,87.09,41.3959246,2.1823245,320,110,260,23502,51,558,95,1345,174,2531,115,223,256,126,295,1228,73
5,5,2021,2,Eixample,6,la Sagrada Família,Taxa per mil habitants,97,39911.0,434,81.19,87.31,41.4036299,2.1743558,459,262,622,39276,93,513,266,1809,294,4312,197,496,327,253,729,1212,199
6,6,2021,2,Eixample,7,la Dreta de l'Eixample,Taxa per mil habitants,103,50894.52,410,80.47999999999999,85.59,41.3950373,2.1672069,420,109,476,32456,76,1122,239,1770,288,5003,319,252,630,345,372,639,159
7,7,2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Taxa per mil habitants,95,47295.04,440,81.19,86.92,41.39,2.155,420,110,560,31594,324,775,153,1600,159,4012,107,331,405,193,486,651,110
8,8,2021,2,Eixample,9,la Nova Esquerra de l'Eixample,Taxa per mil habitants,101,44641.13,434,81.3,88.41,41.383389,2.149,430,231,539,45459,377,587,182,1657,212,4278,148,479,347,223,586,1212,107
9,9,2021,2,Eixample,10,Sant Antoni,Taxa per mil habitants,101,39566.54,409,81.17,87.58,41.3784116,2.1617677,273,122,353,28739,785,503,116,1324,192,3179,430,217,407,150,317,782,164
10,10,2021,3,Sants-Montjuïc,11,el Poble Sec,Taxa per mil habitants,88,30882.25,477,79.56,86.7,41.3749795,2.1605721,324,174,512,25962,1044,736,193,1819,669,4045,1403,220,494,158,365,461,821
11,11,2021,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Taxa per mil habitants,170,26484.0,304,76.9,84.0,41.3538419,2.1423184,5,3,7,1157,0,2,7,11,22,66,2,15,1,6,8,38,0
12,12,2021,3,Sants-Montjuïc,13,la Marina de Port,Taxa per mil habitants,93,32716.12,418,81.01,87.47999999999999,41.3707824,2.1446756,75,96,331,25509,424,64,263,293,359,1544,307,299,32,81,206,730,128
13,13,2021,3,Sants-Montjuïc,14,la Font de la Guatlla,Taxa per mil habitants,104,36877.14,475,80.0,85.81,41.3707824,2.1446756,67,37,110,7936,36,82,53,286,85,754,82,83,41,45,116,174,97
14,14,2021,3,Sants-Montjuïc,15,Hostafrancs,Taxa per mil habitants,91,35159.4,508,80.37,86.14,41.3752539,2.1433476,104,118,179,11794,92,175,76,500,215,1326,308,172,102,102,136,299,144
15,15,2021,3,Sants-Montjuïc,16,la Bordeta,Taxa per mil habitants,117,36836.08,435,81.46000000000001,87.27000000000001,41.3691417,2.1373733,70,115,177,16318,68,97,73,300,154,958,136,134,48,42,136,349,117
16,16,2021,3,Sants-Montjuïc,17,Sants - Badal,Taxa per mil habitants,92,35386.88,538,82.33,87.58,41.375466,2.1277096,124,227,333,19606,122,131,215,414,228,1742,193,265,60,88,273,404,151
17,17,2021,3,Sants-Montjuïc,18,Sants,Taxa per mil habitants,89,38533.14,537,81.76,87.11,41.37901205,2.13996016646417,247,358,604,33050,121,376,421,937,702,3292,877,490,160,110,398,511,428
18,18,2021,4,Les Corts,19,les Corts,Taxa per mil habitants,96,51442.2,387,82.66,87.82,41.3884524,2.12171825426451,165,99,258,39465,32,287,187,658,135,2474,108,254,126,169,309,584,112
